Year,Quarter,Month,State,Purpose,Visitor nights
1998,Q1,Jan,NSW,Business,720
1998,Q1,Feb,NSW,Business,955
1998,Q1,Mar,NSW,Business,1212
1998,Q2,Apr,NSW,Business,1496
1998,Q2,May,NSW,Business,1909
1998,Q2,Jun,NSW,Business,876
1998,Q3,Jul,NSW,Business,1330
1998,Q3,Aug,NSW,Business,1505
1998,Q3,Sep,NSW,Business,1240
1998,Q4,Oct,NSW,Business,1169
1998,Q4,Nov,NSW,Business,1365
1998,Q4,Dec,NSW,Business,887
1999,Q1,Jan,NSW,Business,981
1999,Q1,Feb,NSW,Business,1347
1999,Q1,Mar,NSW,Business,1019
1999,Q2,Apr,NSW,Business,1297
1999,Q2,May,NSW,Business,1167
1999,Q2,Jun,NSW,Business,1205
1999,Q3,Jul,NSW,Business,1546
1999,Q3,Aug,NSW,Business,1242
1999,Q3,Sep,NSW,Business,1666
1999,Q4,Oct,NSW,Business,1397
1999,Q4,Nov,NSW,Business,1248
1999,Q4,Dec,NSW,Business,1146
2000,Q1,Jan,NSW,Business,677
2000,Q1,Feb,NSW,Business,1121
2000,Q1,Mar,NSW,Business,1164
2000,Q2,Apr,NSW,Business,1561
2000,Q2,May,NSW,Business,984
2000,Q2,Jun,NSW,Business,1090
2000,Q3,Jul,NSW,Business,1193
2000,Q3,Aug,NSW,Business,1195
2000,Q3,Sep,NSW,Business,1340
2000,Q4,Oct,NSW,Business,1392
2000,Q4,Nov,NSW,Business,1417
2000,Q4,Dec,NSW,Business,1423
2001,Q1,Jan,NSW,Business,788
2001,Q1,Feb,NSW,Business,1361
2001,Q1,Mar,NSW,Business,1086
2001,Q2,Apr,NSW,Business,912
2001,Q2,May,NSW,Business,1287
2001,Q2,Jun,NSW,Business,1141
2001,Q3,Jul,NSW,Business,1221
2001,Q3,Aug,NSW,Business,1234
2001,Q3,Sep,NSW,Business,1266
2001,Q4,Oct,NSW,Business,1334
2001,Q4,Nov,NSW,Business,1538
2001,Q4,Dec,NSW,Business,858
2002,Q1,Jan,NSW,Business,718
2002,Q1,Feb,NSW,Business,839
2002,Q1,Mar,NSW,Business,1550
2002,Q2,Apr,NSW,Business,1147
2002,Q2,May,NSW,Business,1234
2002,Q2,Jun,NSW,Business,1175
2002,Q3,Jul,NSW,Business,1582
2002,Q3,Aug,NSW,Business,1437
2002,Q3,Sep,NSW,Business,1722
2002,Q4,Oct,NSW,Business,1064
2002,Q4,Nov,NSW,Business,963
2002,Q4,Dec,NSW,Business,1239
2003,Q1,Jan,NSW,Business,728
2003,Q1,Feb,NSW,Business,1111
2003,Q1,Mar,NSW,Business,1654
2003,Q2,Apr,NSW,Business,993
2003,Q2,May,NSW,Business,1468
2003,Q2,Jun,NSW,Business,1047
2003,Q3,Jul,NSW,Business,1085
2003,Q3,Aug,NSW,Business,1108
2003,Q3,Sep,NSW,Business,1246
2003,Q4,Oct,NSW,Business,1398
2003,Q4,Nov,NSW,Business,1120
2003,Q4,Dec,NSW,Business,1195
2004,Q1,Jan,NSW,Business,1193
2004,Q1,Feb,NSW,Business,1228
2004,Q1,Mar,NSW,Business,903
2004,Q2,Apr,NSW,Business,875
2004,Q2,May,NSW,Business,1113
2004,Q2,Jun,NSW,Business,950
2004,Q3,Jul,NSW,Business,1324
2004,Q3,Aug,NSW,Business,990
2004,Q3,Sep,NSW,Business,1024
2004,Q4,Oct,NSW,Business,1308
2004,Q4,Nov,NSW,Business,905
2004,Q4,Dec,NSW,Business,779
2005,Q1,Jan,NSW,Business,674
2005,Q1,Feb,NSW,Business,929
2005,Q1,Mar,NSW,Business,1965
2005,Q2,Apr,NSW,Business,802
2005,Q2,May,NSW,Business,1213
2005,Q2,Jun,NSW,Business,891
2005,Q3,Jul,NSW,Business,1291
2005,Q3,Aug,NSW,Business,1066
2005,Q3,Sep,NSW,Business,1154
2005,Q4,Oct,NSW,Business,1010
2005,Q4,Nov,NSW,Business,1137
2005,Q4,Dec,NSW,Business,881
2006,Q1,Jan,NSW,Business,725
2006,Q1,Feb,NSW,Business,837
2006,Q1,Mar,NSW,Business,1008
2006,Q2,Apr,NSW,Business,939
2006,Q2,May,NSW,Business,1010
2006,Q2,Jun,NSW,Business,1198
2006,Q3,Jul,NSW,Business,1228
2006,Q3,Aug,NSW,Business,1235
2006,Q3,Sep,NSW,Business,985
2006,Q4,Oct,NSW,Business,1121
2006,Q4,Nov,NSW,Business,1032
2006,Q4,Dec,NSW,Business,971
2007,Q1,Jan,NSW,Business,519
2007,Q1,Feb,NSW,Business,990
2007,Q1,Mar,NSW,Business,1444
2007,Q2,Apr,NSW,Business,967
2007,Q2,May,NSW,Business,993
2007,Q2,Jun,NSW,Business,923
2007,Q3,Jul,NSW,Business,1215
2007,Q3,Aug,NSW,Business,979
2007,Q3,Sep,NSW,Business,938
2007,Q4,Oct,NSW,Business,1093
2007,Q4,Nov,NSW,Business,1055
2007,Q4,Dec,NSW,Business,935
2008,Q1,Jan,NSW,Business,787
2008,Q1,Feb,NSW,Business,758
2008,Q1,Mar,NSW,Business,960
2008,Q2,Apr,NSW,Business,938
2008,Q2,May,NSW,Business,1201
2008,Q2,Jun,NSW,Business,952
2008,Q3,Jul,NSW,Business,1006
2008,Q3,Aug,NSW,Business,1215
2008,Q3,Sep,NSW,Business,1160
2008,Q4,Oct,NSW,Business,1399
2008,Q4,Nov,NSW,Business,986
2008,Q4,Dec,NSW,Business,792
2009,Q1,Jan,NSW,Business,591
2009,Q1,Feb,NSW,Business,701
2009,Q1,Mar,NSW,Business,743
2009,Q2,Apr,NSW,Business,615
2009,Q2,May,NSW,Business,904
2009,Q2,Jun,NSW,Business,878
2009,Q3,Jul,NSW,Business,868
2009,Q3,Aug,NSW,Business,769
2009,Q3,Sep,NSW,Business,1217
2009,Q4,Oct,NSW,Business,1283
2009,Q4,Nov,NSW,Business,964
2009,Q4,Dec,NSW,Business,780
2010,Q1,Jan,NSW,Business,544
2010,Q1,Feb,NSW,Business,590
2010,Q1,Mar,NSW,Business,964
2010,Q2,Apr,NSW,Business,861
2010,Q2,May,NSW,Business,749
2010,Q2,Jun,NSW,Business,1069
2010,Q3,Jul,NSW,Business,1320
2010,Q3,Aug,NSW,Business,988
2010,Q3,Sep,NSW,Business,1132
2010,Q4,Oct,NSW,Business,885
2010,Q4,Nov,NSW,Business,1072
2010,Q4,Dec,NSW,Business,824
2011,Q1,Jan,NSW,Business,638
2011,Q1,Feb,NSW,Business,890
2011,Q1,Mar,NSW,Business,1220
2011,Q2,Apr,NSW,Business,910
2011,Q2,May,NSW,Business,1224
2011,Q2,Jun,NSW,Business,1200
2011,Q3,Jul,NSW,Business,1344
2011,Q3,Aug,NSW,Business,1515
2011,Q3,Sep,NSW,Business,1196
2011,Q4,Oct,NSW,Business,885
2011,Q4,Nov,NSW,Business,1029
2011,Q4,Dec,NSW,Business,863
2012,Q1,Jan,NSW,Business,406
2012,Q1,Feb,NSW,Business,666
2012,Q1,Mar,NSW,Business,1539
2012,Q2,Apr,NSW,Business,729
2012,Q2,May,NSW,Business,968
2012,Q2,Jun,NSW,Business,1185
2012,Q3,Jul,NSW,Business,1060
2012,Q3,Aug,NSW,Business,975
2012,Q3,Sep,NSW,Business,1312
2012,Q4,Oct,NSW,Business,1106
2012,Q4,Nov,NSW,Business,1566
2012,Q4,Dec,NSW,Business,1168
2013,Q1,Jan,NSW,Business,476
2013,Q1,Feb,NSW,Business,1394
2013,Q1,Mar,NSW,Business,1482
2013,Q2,Apr,NSW,Business,834
2013,Q2,May,NSW,Business,1132
2013,Q2,Jun,NSW,Business,752
2013,Q3,Jul,NSW,Business,1201
2013,Q3,Aug,NSW,Business,1020
2013,Q3,Sep,NSW,Business,835
2013,Q4,Oct,NSW,Business,1178
2013,Q4,Nov,NSW,Business,1329
2013,Q4,Dec,NSW,Business,964
2014,Q1,Jan,NSW,Business,1000
2014,Q1,Feb,NSW,Business,906
2014,Q1,Mar,NSW,Business,1092
2014,Q2,Apr,NSW,Business,1163
2014,Q2,May,NSW,Business,955
2014,Q2,Jun,NSW,Business,1187
2014,Q3,Jul,NSW,Business,1035
2014,Q3,Aug,NSW,Business,1556
2014,Q3,Sep,NSW,Business,1249
2014,Q4,Oct,NSW,Business,1514
2014,Q4,Nov,NSW,Business,1568
2014,Q4,Dec,NSW,Business,878
2015,Q1,Jan,NSW,Business,656
2015,Q1,Feb,NSW,Business,1118
2015,Q1,Mar,NSW,Business,1141
2015,Q2,Apr,NSW,Business,1064
2015,Q2,May,NSW,Business,1826
2015,Q2,Jun,NSW,Business,1207
2015,Q3,Jul,NSW,Business,1233
2015,Q3,Aug,NSW,Business,1607
2015,Q3,Sep,NSW,Business,1047
2015,Q4,Oct,NSW,Business,1480
2015,Q4,Nov,NSW,Business,1754
2015,Q4,Dec,NSW,Business,926
2016,Q1,Jan,NSW,Business,728
2016,Q1,Feb,NSW,Business,1211
2016,Q1,Mar,NSW,Business,1101
2016,Q2,Apr,NSW,Business,1421
2016,Q2,May,NSW,Business,1629
2016,Q2,Jun,NSW,Business,1196
2016,Q3,Jul,NSW,Business,1205
2016,Q3,Aug,NSW,Business,1418
2016,Q3,Sep,NSW,Business,1450
2016,Q4,Oct,NSW,Business,1428
2016,Q4,Nov,NSW,Business,1978
2016,Q4,Dec,NSW,Business,1584
2017,Q1,Jan,NSW,Business,917
2017,Q1,Feb,NSW,Business,1466
2017,Q1,Mar,NSW,Business,1413
2017,Q2,Apr,NSW,Business,1428
2017,Q2,May,NSW,Business,1679
2017,Q2,Jun,NSW,Business,1638
2017,Q3,Jul,NSW,Business,1677
2017,Q3,Aug,NSW,Business,1769
2017,Q3,Sep,NSW,Business,1609
2017,Q4,Oct,NSW,Business,1746
2017,Q4,Nov,NSW,Business,1653
